id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,auc,balacc,logloss
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,5,multiclass,,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:13:46,10826.2,,,,1265371072,NoResultError: ,,,,
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,5,binary,0.63053,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:27,13036.7,12977.8,0.3,50.0,61223804,,0.963525,0.63053,0.499983,0.152477
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,8,binary,0.624008,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:29,13029.5,12971.5,0.3,50.0,61223807,,0.963542,0.624008,0.5,0.152936
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,0,binary,0.521308,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:38,12966.0,12960.1,0.004,50.0,1716692158,,0.517753,0.521308,0.516781,0.692486
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,2,binary,0.621193,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:40,13053.4,12994.6,0.4,50.0,61223801,,0.963458,0.621193,0.500613,0.153406
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,2,binary,0.525867,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:44,12970.8,12965.1,0.01,50.0,1716692160,,0.519207,0.525867,0.517925,0.691913
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,3,binary,0.525877,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:47,12967.9,12961.7,0.005,50.0,1716692161,,0.517857,0.525877,0.516936,0.692164
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,1,binary,0.632883,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:50,13062.4,13003.7,0.4,50.0,61223800,,0.963576,0.632883,0.500683,0.152101
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,1,binary,0.537821,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:51,12966.3,12960.0,0.004,50.0,1716692159,,0.5299,0.537821,0.52903,0.691013
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,4,binary,0.534387,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:53,12968.7,12962.9,0.004,50.0,1716692162,,0.527097,0.534387,0.526204,0.691499
openml.org/t/7593,covertype,GAMA,4h8c_gp3,9,multiclass,-0.0985662,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:49:55,13023.0,12964.9,2.0,50.0,1793316326,,0.968847,,0.9196,0.0985662
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,5,binary,0.523291,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:00,12968.0,12961.8,0.2,50.0,1716692163,,0.51765,0.523291,0.515942,0.692106
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,6,binary,0.637558,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:05,13070.6,13010.6,0.5,50.0,61223805,,0.963559,0.637558,0.5,0.152115
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,8,binary,0.531462,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:09,12966.2,12960.0,0.007,50.0,1716692166,,0.522529,0.531462,0.521519,0.691574
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,6,binary,0.532217,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:09,12970.9,12964.7,0.1,50.0,1716692164,,0.520037,0.532217,0.517624,0.692178
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,3,multiclass,-0.853403,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:15,13016.3,12999.2,0.4,50.0,1265371070,,0.601159,,0.437719,0.853403
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,9,binary,0.641553,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:25,13072.4,13013.5,0.4,50.0,61223808,,0.963542,0.641553,0.500887,0.15184
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,0,binary,0.622247,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:25,13098.0,13037.2,1.7,50.0,61223799,,0.963543,0.622247,0.5,0.152937
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,9,multiclass,-0.842661,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:28,13010.5,12994.1,0.3,50.0,1265371076,,0.614485,,0.445338,0.842661
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,7,binary,0.636475,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:28,13092.2,13034.2,0.4,50.0,61223806,,0.963559,0.636475,0.5,0.152119
openml.org/t/167120,numerai28_6,GAMA,4h8c_gp3,9,binary,0.530545,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:30,12968.0,12961.6,0.2,50.0,1716692167,,0.521491,0.530545,0.519901,0.691551
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,2,multiclass,-0.852719,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:37,13048.7,13032.1,0.3,50.0,1265371069,,0.603813,,0.440286,0.852719
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,3,binary,0.639926,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:37,13108.9,13050.5,0.4,50.0,61223802,,0.963542,0.639926,0.500213,0.151938
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,0,multiclass,-0.847635,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:40,13059.9,13042.7,0.4,50.0,1265371067,,0.607645,,0.437177,0.847635
openml.org/t/360113,porto-seguro,GAMA,4h8c_gp3,4,binary,0.643317,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:41,13113.7,13055.0,0.5,50.0,61223803,,0.963509,0.643317,0.500196,0.152182
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,7,multiclass,-0.847743,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:43,13028.1,13010.9,0.3,50.0,1265371074,,0.606525,,0.436968,0.847743
openml.org/t/359991,kick,GAMA,4h8c_gp3,1,binary,0.783751,auc,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:53,12983.5,12974.8,0.2,50.0,1777626148,,0.901493,0.783751,0.614505,0.293084
openml.org/t/211979,jannis,GAMA,4h8c_gp3,3,multiclass,-0.70153,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:50:54,13018.2,13006.6,0.09,50.0,880399081,,0.710498,,0.545999,0.70153
openml.org/t/211986,Diabetes130US,GAMA,4h8c_gp3,1,multiclass,-0.836012,neg_logloss,aws.docker,21.0.1.dev,,2.0.5,2022-02-10T14:51:07,13084.1,13066.4,0.3,50.0,1265371068,,0.61806,,0.449717,0.836012
